TRANSCRIPTION,TAGS,,,,,,,,,,,,,,,,,,
"So OXO's got agencies banging down the door. We're not quite there yet with them, but that will come and that will come quite quickly. Nectar360 is a total. Already have their agencies there. And Tesco have got a few agencies on board already as well. So there are agencies in most of the retailers, not all of them. The likes of Wowcher, for example, they won't have an agency. So people won't use it for Wowcher. Feel Unique as in very early days. They may in the long run have agencies, they don't have any at the moment. And I would say across Media Marked and La Moda right now there's probably no agencies in there. And to say that when we scale up they won't be.",Scaling, Future opportunity, La Modé, OXO, Sainsburys, Wowcher, Agencies, Retailers,,,,,,,,,,,
We've had a couple. We've probably had 2 or 3 conversations. Not necessarily 2 or 3 agencies. We've had two or three conversations where they're trying to push it. But actually they see the value in what we're providing. So they're using the system anyway.?,Future opportunity, Positive feedback, Agencies,,,,,,,,,,,,,,,,
"Listen, the fact is if they have got clients and, and because the system is so easily used, they have got clients that if they're not doing it for them, the clients will do it themselves. So they are flexing to make sure that they maintain that, you know, that revenue is coming through, through to them. I'm not saying that we don't need pacing or that there aren't retailers out there, or retailers to come that wouldn't find a pacing mechanic useful. Or if it was something that we could dial in and dial out of that different retailers might actually say, do you know what, yes, we do want pacing and others might say no. It's going to be a very much a personal retailer decision as to how they do this. And very much in the same way as you know, they're making their decisions around CPC, OXO at the moment are making their decisions around how visible everything is to different suppliers. So I think pacing would be a very much an individual decision.",Business decision, Needs are unclear, CPC (Cost Per Click), Pacing, Revenue, Value or belief, Retailers,,,,,,,,,,,,
"Yes, exactly.Currently, each retailer is a little bit independent from each other, I believe. That's how the European market looks like. Correct me if I'm wrong, Linda. But there is no much like the common policy that like the personalisation of each namespace is quite, it's, it's a matter [of decision] of retailers. So the retailer makes a decision, what is the neighbour, what's not? And it's mostly individual decision.",Business decision, Business challenge, Needs are unclear, Value or belief, Europe, Retailers,,,,,,,,,,,,,
Right. Ok.,,,,,,,,,,,,,,,,,,,
Pretty much.,,,,,,,,,,,,,,,,,,,
"It's immediate. We tend to say that it takes 15 minutes for a product to reappear across the site. But the top up of what it is, is immediate. So it's nice and easy for them to get back up and running.",Ad serving, Wallets,,,,,,,,,,,,,,,,,
"So, the only way to see that would be to log into the system and see the roundels [UI indicators]. So there's a roundel that you get in the top-right that, that will indicate one of two things. One indicates that the wallets are low of balance or out of credit, the other lets you know when a campaign's been rejected. You've also got it through the campaign manager where you can kind of see it in red. However, external notification by way of email is not something that we offer at the moment. It's something we're asked for everyday.",UI, Wallets, Limitation, Poor performance, AdManager, Notifications,,,,,,,,,,,,,
"No, he is. No, it's fine. We are across it with him, you know. We have two main requests in the UK at the moment. And my guess is that they will inevitably come across the rest of Europe as well. One is, can we please get more notifications around when we're being outbid if that's an option, we've run out of funds. If our campaign has been rejected, can we please get an email notification? And the other one is when we make CPC change or a date change, please, can we just go back into instant approval and not have to wait for a retailer to approve us. And they're kind of the two main complaints we have at the moment.",Approvals, Bidding, Competitor, CPC (Cost Per Click), Date or Time related, Frustration, Limitation, Negative feedback, Brands, Retailers, Notifications,,,,,,,,
"And I think, yes, right now it is specifically coming from Nectar because they are shouting the loudest about it. But the request has also come from a OXO and from Tesco. So we know that it's not an isolated request. It will be a request across the board.",Nectar360, OXO, Tesco, Limitation, Negative feedback, Customer needs, Notifications,,,,,,,,,,,,
"I think, my personal opinion on that would be you'd want to have a conversation with the retailer first before you went to the agencies. Because what you don't want to do is even suggest that it's something that we could do in the future if the likes of Nectar go ""But we don't want it because actually we'll see our revenues decline"".",Follow-up, Recommendation, Concern or Worry, Pacing, Revenue, Nectar360, Retailers,,,,,,,,,,,,
"But, I'm happy the next time it comes up in conversation with them or if we get a request and I'm more than happy to make sure that that's kind of pushed back for you guys. So you can see how those conversations are kind of coming.",,,,,,,,,,,,,,,,,,,
"Yeah. So, in fact, there was not like that my only experience with European retailers, suppliers about that spend. Like it's mostly around La Moda. Like they were asking about the daily spends and they've got some questions and issues. Mainly with the fact that this the daily spent campaigns are like instantly burning, especially when you said that funds that are going to be are not comparable to the amount of the volume of the traffic they've got.",Overspending, Campaigns, SPA (Sponsored Product Ads), Spend, La Modé, Brands, Europe, Retailers,,,,,,,,,,,
"Yeah, but also from my experience with dealing with CSD Tickets [our old support tickets system] because I have done some of them. So the questions around daily, daily budget was mainly from US. From the US suppliers, retailers and that was like the most of them was around this instantly burned budget. So that was something that was not unexpected behaviour. And yes, suppliers want to have this budget to be spread over all the day [or the campaign duration] I believe.",Overspending, Budget, Expectations, Pacing, Spend Limits / Cap-outs, AdManager, USA, Support,,,,,,,,,,,
